descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Analyze author's use of text structure.,L,5,3,5,3
Analyze information from sources for use in presentations.,L,47,12,47,12
Analyze the author's purpose for including details in a narrative.,L,2,6,2,6
Analyze the author's purpose for writing an informational text.,L,3,5,3,5
Analyze use of conventional elements for effect.,M,26,13,26,13
Apply knowledge of affixes.,M,41,18,41,18
Apply knowledge of antonyms.,M,6,2,6,2
Apply knowledge of prefixes.,M,3,5,3,5
Apply knowledge of roots and prefixes.,M,4,4,4,4
Apply knowledge of synonyms.,L,6,1,6,1
Apply knowledge of word connotations.,L,34,10,34,10
Apply knowledge of word connotations.,M,35,24,35,24
Compare characters; settings; and events.,M,24,15,24,15
Demonstrate comprehension by predicting an appropriate text heading.,L,37,2,37,2
Demonstrate understanding of conflict.,M,31,28,31,28
Demonstrate understanding of plot structure and resolution.,M,44,15,44,15
Demonstrate understanding of theme.,L,49,10,49,10
Describe how an author's word choice contributes to the meaning of a phrase.,L,136,40,84,14
Describe how information contributes to author's purpose.,L,6,2,6,2
Describe the impact of a specific phrase on characterization.,L,6,2,6,2
Determine a character's feelings in a given text.,L,11,5,8,0
Determine an author's purpose for including specific details.,L,110,47,80,18
Determine author's attitude based on details of a selection.,L,1,0,1,0
Determine the cause/effect relationship.,L,182,48,96,2
Determine the cause/effect relationship.,M,3,2,3,2
Determine the focus of a paragraph.,L,5,3,5,3
Determine which question is being answered in a specific paragraph.,L,29,10,29,10
Differentiate between fact and opinion.,L,75,23,75,23
Distinguish between fact and opinion.,L,11,4,6,2
Draw conclusion based on explicit information.,L,10,6,6,2
Draw conclusion based on implicit information.,L,13,3,7,1
Draw conclusion based on implicit information.,M,3,5,3,5
Draw conclusions from a paragraph.,L,3,5,3,5
Draw conclusions from an informational text.,L,1,0,1,0
Draw conclusions on explicit information using textual support.,L,144,28,58,1
Draw conclusions on explicit information using textual support.,M,62,36,62,36
Draw conclusions on implied information using textual support.,L,221,53,96,2
Evaluate information for use in other formats.,M,58,40,58,40
Explain how word choice supports the author's purpose.,L,72,26,72,26
Identify a fact from a text.,L,6,2,6,2
Identify a word origin.,L,20,19,20,19
Identify antonyms.,M,3,2,3,2
Identify author's purpose.,L,100,37,83,15
Identify best source to locate information.,L,6,2,6,2
Identify cause and effect relationships.,L,17,5,8,0
Identify details that support the author's viewpoint.,M,17,22,17,22
Identify how the author uses word choice to convey a viewpoint.,L,27,12,27,12
Identify important details.,L,8,0,8,0
Identify important details.,M,2,6,2,6
Identify questions answered in a text.,L,6,3,6,2
Identify supporting details.,L,57,41,57,41
Identify supporting details.,M,53,40,53,40
Identify synonyms.,M,57,36,57,36
Identify text that reveals character information.,L,7,1,7,1
Identify the antonym of a given word.,L,1,0,1,0
Identify the author's organizational pattern.,M,65,33,65,33
Identify the genre of a text.,L,0,1,0,1
Identify the main idea of a section of text.,L,10,6,7,1
Identify the main idea.,L,152,44,92,6
Identify the main idea.,M,16,23,16,23
Identify tone created by word choice.,L,11,5,7,1
Identify why setting is important to the story.,M,3,5,3,5
Identify word choice that demonstrates the author's attitude.,M,7,8,6,2
Interpret figurative language in text.,L,210,60,91,7
Interpret figurative language.,M,7,1,7,1
Make an inference based on implicit information.,L,8,0,8,0
Make inferences on explicit information using textual support.,L,52,12,52,7
Make inferences on implied information using textual support.,L,75,23,75,23
Make inferences to identify the author's purpose.,L,101,36,76,22
Make predictions.,L,114,23,93,5
Make predictions.,M,41,18,41,18
Organize and synthesize information.,M,3,4,3,4
Recognize the use of literary devices.,L,65,33,65,33
Summarize an informational text.,L,6,2,6,2
Summarize an informational text.,M,3,5,3,5
Summarize paragraph.,M,0,1,0,1
Summarize text relating supporting details.,L,3,2,3,2
Summarize text relating supporting details.,M,52,46,52,46
Summarize the content of a selection.,M,4,4,4,4
Understand the purpose of text structures.,L,43,16,43,16
Use a text heading to categorize information.,L,127,30,90,8
Use context clues to define a word.,L,6,2,6,2
Use context clues to define a word.,M,3,5,3,5
Use context to determine meanings of words.,L,200,55,94,4
Use context to determine meanings of words.,M,49,49,49,49
Use context to infer the meaning of unfamiliar words.,L,5,3,5,3
Use structural analysis of roots to understand complex words.,M,30,9,30,9
