descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Calculate the mean; median; mode; or range for a set of data.,H,22,19,22,18
Calculate the mean; median; mode; or range for a set of data.,L,27,11,25,5
Calculate the mean; median; mode; or range for a set of data.,M,49,43,42,29
Classify angles as right; acute; straight; or obtuse.,L,2,3,2,3
Classify angles as right; acute; straight; or obtuse.,M,32,29,32,29
Classify triangles as right; acute; obtuse; equilateral; scalene; or isosceles.,L,7,4,7,4
Classify triangles as right; acute; obtuse; equilateral; scalene; or isosceles.,M,29,5,29,5
Create a practical situation given an open sentence.,L,33,17,33,10
Create a practical situation given an open sentence.,M,42,41,41,29
Define a variable in an expression representing a practical problem situation.,H,7,18,7,18
Define a variable in an expression representing a practical problem situation.,M,17,45,17,45
Describe mean as a fair share.,L,4,4,4,3
Describe mean as a fair share.,M,22,15,22,15
Describe range as a measure of variation for a set of data.,H,4,9,4,9
Describe range as a measure of variation for a set of data.,L,2,2,1,2
Describe range as a measure of variation for a set of data.,M,28,40,27,40
Describe the characteristics of odd and even numbers.,L,1,1,1,1
Describe the characteristics of odd and even numbers.,M,50,39,50,39
Describe the polygons resulting from combining or subdividing figures.,H,1,3,1,3
Describe the polygons resulting from combining or subdividing figures.,L,2,2,2,2
Describe the polygons resulting from combining or subdividing figures.,M,25,37,25,36
Describe the relationship between the parts of a circle.,M,22,24,22,24
Determine area from given information.,H,9,6,9,6
Determine area from given information.,L,2,3,2,3
Determine area from given information.,M,4,9,4,9
Determine perimeter from given information.,H,0,2,0,2
Determine perimeter; area; and volume from given information.,H,2,4,2,4
Determine perimeter; area; and volume from given information.,M,10,17,10,17
Determine possible outcomes of a single event.,H,12,11,12,11
Determine possible outcomes of a single event.,L,18,5,18,3
Determine possible outcomes of a single event.,M,38,31,36,26
Determine the appropriate application of area; perimeter; or volume when given a situation.,L,3,1,3,1
Determine the appropriate application of area; perimeter; or volume when given a situation.,M,0,2,0,2
Determine the measure of right; acute; straight; or obtuse angles.,L,13,3,13,3
Determine the measure of right; acute; straight; or obtuse angles.,M,54,32,54,30
Determine volume from given information.,H,11,8,11,8
Determine volume from given information.,L,4,1,4,1
