descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Analyze histograms for a given data set.,H,5,5,5,5
Analyze histograms for a given data set.,L,1,6,1,6
Analyze histograms for a given data set.,M,44,40,42,33
Apply a transformation to the graph or coordinates of a figure and determine the graph or coordinates for the image.,H,3,0,3,0
Apply a transformation to the graph or coordinates of a figure and determine the graph or coordinates for the image.,L,25,10,22,5
Apply a transformation to the graph or coordinates of a figure and determine the graph or coordinates for the image.,M,181,87,86,2
Apply the Fundamental Basic Counting Principle to determine the number of possible outcomes of compound events.,H,11,4,11,4
Apply the Fundamental Basic Counting Principle to determine the number of possible outcomes of compound events.,L,4,3,4,3
Apply the Fundamental Basic Counting Principle to determine the number of possible outcomes of compound events.,M,8,25,8,18
Classify/compare/contrast quadrilaterals based on properties.,H,16,11,15,10
Classify/compare/contrast quadrilaterals based on properties.,L,29,17,19,6
Classify/compare/contrast quadrilaterals based on properties.,M,110,50,70,11
Compare and/or describe the experimental and theoretical probabilities of an event.,H,10,7,10,7
Compare and/or describe the experimental and theoretical probabilities of an event.,L,1,2,1,2
Compare and/or describe the experimental and theoretical probabilities of an event.,M,10,6,10,6
Construct histograms for a given data set.,L,6,5,6,5
Construct histograms for a given data set.,M,5,9,5,9
Describe how changing one measured attribute of a rectangular prism affects its volume or surface area.,H,10,3,10,3
Describe how changing one measured attribute of a rectangular prism affects its volume or surface area.,L,3,7,3,7
Describe how changing one measured attribute of a rectangular prism affects its volume or surface area.,M,62,82,49,33
Describe volume or surface area of cylinders.,H,5,35,5,35
Describe volume or surface area of cylinders.,L,10,5,10,4
Describe volume or surface area of cylinders.,M,31,16,29,10
Determine the absolute value of a number.,H,10,11,10,11
Determine the absolute value of a number.,L,21,4,20,4
Determine the absolute value of a number.,M,54,46,50,24
Determine the common difference or common ratio given a sequence or vice versa.,H,15,8,13,8
Determine the common difference or common ratio given a sequence or vice versa.,L,11,8,11,6
Determine the common difference or common ratio given a sequence or vice versa.,M,18,8,17,5
Determine the experimental or theoretical probability of an event.,H,0,2,0,2
Determine the experimental or theoretical probability of an event.,L,1,1,1,1
Determine the experimental or theoretical probability of an event.,M,54,31,50,26
Determine the probability of a compound event.,H,9,14,9,14
Determine the probability of a compound event.,L,1,1,1,1
Determine the probability of a compound event.,M,20,23,20,21
Determine whether quadrilaterals are similar; identify corresponding parts; or express proportionality of corresponding sides.,H,22,18,19,13
Determine whether quadrilaterals are similar; identify corresponding parts; or express proportionality of corresponding sides.,L,11,10,7,5
Determine whether quadrilaterals are similar; identify corresponding parts; or express proportionality of corresponding sides.,M,45,44,41,27
Determine whether triangles are similar; identify corresponding parts; or express proportionality of corresponding sides.,L,16,8,15,5
Determine whether triangles are similar; identify corresponding parts; or express proportionality of corresponding sides.,M,45,44,38,37
Distinguish between arithmetic and geometric sequences.,M,28,15,28,14
Evaluate algebraic expressions for the given replacement values of the variables.,L,82,16,77,7
Evaluate algebraic expressions for the given replacement values of the variables.,M,29,15,28,14
Graph one-step inequalities in one variable.,H,20,38,18,32
Graph one-step inequalities in one variable.,L,10,5,6,4
Graph one-step inequalities in one variable.,M,74,31,56,18
Identify examples of expressions and equations.,L,1,1,1,1
Identify examples of expressions and equations.,M,9,15,9,15
Identify or apply the properties of real numbers.,H,10,6,8,3
Identify or apply the properties of real numbers.,L,6,3,5,1
Identify or apply the properties of real numbers.,M,114,99,68,17
Make inferences and comparisons using the information presented in a histogram and another type of graph for the same set of data.,L,11,2,11,0
Make inferences and comparisons using the information presented in a histogram and another type of graph for the same set of data.,M,75,92,55,32
Model one-step or two-step linear equations.,L,0,1,0,1
Model one-step or two-step linear equations.,M,35,37,35,34
Represent arithmetic or geometric sequences using variable expressions.,L,3,0,3,0
Represent arithmetic or geometric sequences using variable expressions.,M,2,1,2,1
Represent equivalent relationships between number sentences and models of addition; subtraction; multiplication; or division of integers.,L,109,14,84,3
Represent equivalent relationships between number sentences and models of addition; subtraction; multiplication; or division of integers.,M,59,22,57,12
Represent powers of 10 with negative exponents in expanded notation; fraction form; and/or decimal form.,H,10,12,10,12
Represent powers of 10 with negative exponents in expanded notation; fraction form; and/or decimal form.,L,7,1,7,1
Represent powers of 10 with negative exponents in expanded notation; fraction form; and/or decimal form.,M,37,35,35,29
Represent relations with tables; graphs; rules; and words.,H,8,15,7,14
Represent relations with tables; graphs; rules; and words.,L,14,6,12,3
Represent relations with tables; graphs; rules; and words.,M,109,71,71,12
Solve addition/subtraction one-step inequalities in one variable.,L,1,1,1,1
Solve addition/subtraction one-step inequalities in one variable.,M,25,16,25,13
Solve multiplication/division one-step inequalities in one variable.,H,18,13,18,13
Solve multiplication/division one-step inequalities in one variable.,L,5,3,5,3
Solve multiplication/division one-step inequalities in one variable.,M,35,11,35,10
Solve one- and two-step linear equations.,L,19,7,16,4
Solve one- and two-step linear equations.,M,55,21,48,18
Solve practical problems involving one- and two-step linear equations.,H,2,8,2,8
Solve practical problems involving one- and two-step linear equations.,L,3,3,3,3
Solve practical problems involving one- and two-step linear equations.,M,55,65,47,32
Solve problems involving surface area of rectangular prisms and cylinders.,H,0,10,0,10
Solve problems involving surface area of rectangular prisms and cylinders.,L,6,5,6,4
Solve problems involving surface area of rectangular prisms and cylinders.,M,38,32,37,24
Solve problems involving volume of rectangular prisms and cylinders.,H,2,12,2,12
Solve problems involving volume of rectangular prisms and cylinders.,L,10,4,8,4
Solve problems involving volume of rectangular prisms and cylinders.,M,16,18,15,16
Translate an algebraic expression or equation to a verbal expression or sentence and vice versa.,L,2,2,2,2
Translate an algebraic expression or equation to a verbal expression or sentence and vice versa.,M,73,61,59,27
Use proportional reasoning to solve or represent single- and multistep practical problems.,H,22,42,19,22
Use proportional reasoning to solve or represent single- and multistep practical problems.,L,36,10,27,4
Use proportional reasoning to solve or represent single- and multistep practical problems.,M,76,61,58,15
‡ Add; subtract; multiply; or divide integers.,L,53,7,50,5
‡ Add; subtract; multiply; or divide integers.,M,41,4,39,4
‡ Compare and order numbers represented as fractions; decimals; percents; or numbers written in scientific notation.,H,3,6,3,6
‡ Compare and order numbers represented as fractions; decimals; percents; or numbers written in scientific notation.,L,4,3,4,3
‡ Compare and order numbers represented as fractions; decimals; percents; or numbers written in scientific notation.,M,105,77,76,13
‡ Determine the square root of perfect squares less than or equal to 400.,L,72,13,62,11
‡ Determine the square root of perfect squares less than or equal to 400.,M,12,10,12,10
‡ Evaluate an expression using order of operations.,L,3,1,3,1
‡ Evaluate an expression using order of operations.,M,68,27,66,20
‡ Represent a number greater than 0 in scientific and standard notation.,H,11,27,11,27
‡ Represent a number greater than 0 in scientific and standard notation.,L,25,4,20,3
‡ Represent a number greater than 0 in scientific and standard notation.,M,14,22,14,20
