descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Analyze histograms for a given data set.,L,3,0,3,0
Analyze histograms for a given data set.,M,1,1,1,1
Apply a transformation to the graph or coordinates of a figure and determine the graph or coordinates for the image.,L,4,3,3,0
Apply a transformation to the graph or coordinates of a figure and determine the graph or coordinates for the image.,M,3,3,3,0
Apply or describe the experimental and theoretical probability formulas to determine or calculate the probability of a compound event.,M,1,1,1,1
Apply the Fundamental Basic Counting Principle to determine the number of possible outcomes of compound events.,L,3,2,2,1
Classify/compare/contrast quadrilaterals based on properties.,L,3,3,2,1
Classify/compare/contrast quadrilaterals based on properties.,M,3,3,1,1
Compare and/or describe the experimental and theoretical probabilities of an event.,H,0,3,0,3
Compare and/or describe the experimental and theoretical probabilities of an event.,M,4,1,3,0
Construct histograms for a given data set.,L,3,0,3,0
Construct histograms for a given data set.,M,1,1,1,1
Describe how changing one measured attribute of a rectangular prism affects its volume or surface area.,L,3,0,3,0
Describe how changing one measured attribute of a rectangular prism affects its volume or surface area.,M,1,1,1,1
Describe volume or surface area of cylinders.,H,1,2,1,2
Describe volume or surface area of cylinders.,L,2,2,2,0
Determine the absolute value of a number.,M,2,3,2,1
Determine the common difference or common ratio given a sequence or vice versa.,L,3,0,3,0
Determine the common difference or common ratio given a sequence or vice versa.,M,2,0,2,0
Determine the experimental or theoretical probability of an event.,L,1,1,1,1
Determine the probability of a compound event.,M,0,5,0,3
Determine whether quadrilaterals are similar; identify corresponding parts; or express proportionality of corresponding sides.,L,6,3,3,0
Determine whether triangles are similar; identify corresponding parts; or express proportionality of corresponding sides.,L,6,0,3,0
Evaluate algebraic expressions for the given replacement values of the variables.,L,5,1,3,0
Evaluate algebraic expressions for the given replacement values of the variables.,M,2,0,2,0
Graph one-step inequalities in one variable.,M,5,3,3,0
Identify and recognize congruent images resulting from transformations.,M,0,2,0,2
Identify examples of expressions and equations.,M,0,2,0,2
Identify or apply the properties of real numbers.,M,0,12,0,3
Identify similar properties between quadrilaterals.,M,3,0,3,0
Make inferences and comparisons using the information presented in a histogram and another type of graph for the same set of data.,L,2,1,2,1
Represent arithmetic or geometric sequences using variable expressions.,L,2,3,2,1
Represent equivalent relationships between number sentences and models of addition; subtraction; multiplication; or division of integers.,L,9,1,3,0
Represent equivalent relationships between number sentences and models of addition; subtraction; multiplication; or division of integers.,M,1,1,1,1
Represent powers of 10 with negative exponents in expanded notation; fraction form; and/or decimal form.,M,4,1,3,0
Represent relations with tables; graphs; rules; and words.,L,5,2,3,0
Represent relations with tables; graphs; rules; and words.,M,2,4,2,1
Solve addition/subtraction one-step inequalities in one variable.,M,0,4,0,2
Solve multiplication/division one-step inequalities in one variable.,M,1,2,1,2
Solve one- and two-step linear equations.,L,7,1,3,0
Solve practical problems involving one- and two-step linear equations.,L,2,2,1,1
Solve practical problems involving one- and two-step linear equations.,M,1,2,1,2
Solve problems involving surface area of rectangular prisms and cylinders.,L,2,0,2,0
Solve problems involving volume of rectangular prisms and cylinders.,L,3,0,3,0
Translate an algebraic expression or equation to a verbal expression or sentence and vice versa.,L,2,0,2,0
Translate an algebraic expression or equation to a verbal expression or sentence and vice versa.,M,0,3,0,3
Use proportional reasoning to solve or represent single- and multistep practical problems.,L,5,0,3,0
Use proportional reasoning to solve or represent single- and multistep practical problems.,M,5,3,3,0
Use the dimensions of rectangular prisms or cylinders to describe or compare volume and surface areas.,M,2,1,2,1
‡ Add; subtract; multiply; or divide integers.,L,4,1,3,0
‡ Compare and order numbers represented as fractions; decimals; percents; or numbers written in scientific notation.,L,4,1,3,0
‡ Compare and order numbers represented as fractions; decimals; percents; or numbers written in scientific notation.,M,2,3,2,1
‡ Determine an expression resulting in a negative integer.,L,2,1,2,1
‡ Determine the square root of perfect squares less than or equal to 400.,L,5,0,3,0
‡ Determine the square root of perfect squares less than or equal to 400.,M,1,1,1,1
‡ Evaluate an expression using order of operations.,M,4,1,3,0
‡ Represent a number greater than 0 in scientific and standard notation.,L,5,0,3,0
