descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Analyze and extend a geometric sequence.,H,1,1,1,1
Analyze and extend a geometric sequence.,L,4,0,2,0
Analyze and extend an arithmetic sequence.,L,2,0,2,0
Assign a point to the correct quadrant or axis.,L,2,0,2,0
Assign a point to the correct quadrant or axis.,M,2,1,2,0
Assign points to the correct quadrants or axes without graphing.,L,1,0,1,0
Classify polygons based on their properties.,M,2,0,2,0
Compare and contrast graphs that represent the same set of data.,L,0,1,0,1
Compare and order integers using mathematical symbols.,L,1,2,1,1
Compare and represent equivalent relationships between decimals and fractions.,M,1,1,1,1
Describe and use algebraic terms appropriately.,L,1,0,1,0
Describe and use algebraic terms appropriately.,M,0,2,0,2
Describe the best measure of central tendency for a given set of data.,M,2,2,1,1
Determine if two events are dependent or independent.,L,3,0,2,0
Determine the ratio in a given situation.,L,3,0,2,0
Determine the size of a section of a circle graph used to represent a given category.,M,0,1,0,1
Find a missing angle measure of a quadrilateral.,L,0,3,0,2
Find the probability of two dependent events.,M,0,2,0,2
Find the probability of two independent events.,M,0,1,0,1
Find the surface area of a rectangular prism.,L,1,0,1,0
Find the volume of a rectangular prism.,L,2,0,2,0
Graph a point on the coordinate plane.,L,2,1,2,0
Identify a circle graph that represents given data.,L,2,1,2,0
Identify and describe the absolute value of an integer.,L,3,0,2,0
Identify and represent perfect squares.,L,1,0,1,0
Identify congruent sides and/or angles of congruent polygons.,L,3,0,2,0
Identify numbers that are integers.,L,0,2,0,2
Identify the property represented by a real number equation.,L,2,1,2,0
Interpret and draw conclusions from information represented in a circle graph.,M,0,2,0,2
Interpret information from multiple graphical representations.,L,1,1,1,1
Model the division of fractions.,M,1,0,1,0
Model the multiplication of fractions.,L,1,1,1,1
Recognize multiple graphical representations of the same data set.,L,2,3,2,0
Recognize the application of the multiplicative inverse property.,L,1,0,1,0
Recognize the application of the multiplicative property of zero.,L,1,1,1,1
Recognize the application of the multiplicative property of zero.,M,0,1,0,1
Represent a ratio in an equivalent form.,M,0,1,0,1
Represent exponential expressions in equivalent forms.,L,0,2,0,2
Represent fractions; decimals; and percents using various models.,L,2,0,2,0
Represent fractions; decimals; and percents using various models.,M,1,0,1,0
Solve a multistep practical problem involving decimals.,L,3,3,2,0
Solve a one-step linear equation in one variable represented by a model.,L,0,1,0,1
Solve a one-step linear equation represented by a model.,L,0,2,0,2
Solve a one-step linear equation.,L,2,1,2,0
Solve a practical problem involving subtraction of mixed numbers.,L,0,1,0,1
Solve a problem involving fractions.,M,1,1,1,1
Solve a single-step practical problem involving multiplication or division of fractions and/or mixed numbers.,L,1,2,1,1
Solve practical problems involving multiplication or division of whole numbers and fractions.,M,0,1,0,1
Solve practical problems involving the area of a circle.,M,2,1,1,1
Solve practical problems involving the circumference of a circle.,L,1,0,1,0
Solve practical problems involving the perimeter of rectangles and/or triangles.,L,0,1,0,1
Solve practical problems involving the perimeter of rectangles and/or triangles.,M,1,1,1,1
Solve problems involving the definition of pi.,L,1,2,1,1
Translate between the graphical and symbolic representation of an inequality.,L,3,0,2,0
Translate between the graphical and symbolic representation of an inequality.,M,1,2,1,1
Use a number line to define the mean as balance point for a given set of data.,L,2,0,2,0
Use a number line to define the mean as balance point for a given set of data.,M,1,0,1,0
Use attributes to determine congruence of segments.,L,0,1,0,1
Use attributes to identify congruent polygons.,L,2,0,2,0
Use ballpark comparisons between U.S. Customary System and metric system to estimate measurement.,L,0,3,0,2
‡ Apply the order of operations to simplify expressions with whole numbers.,L,1,2,1,1
‡ Apply the order of operations to simplify expressions with whole numbers.,M,1,2,1,1
‡ Compare and order decimals; fractions; and percents.,L,0,1,0,1
‡ Compare and order decimals; fractions; and percents.,M,0,2,0,2
‡ Represent equivalent relationships between decimals; fractions; and percents.,L,2,1,1,1
‡ Represent equivalent relationships between decimals; fractions; and percents.,M,0,1,0,1
‡ Solve a problem involving division of fractions and/or mixed numbers.,L,2,1,2,0
‡ Solve a problem involving multiplication of fractions and/or mixed numbers.,L,3,1,2,0
‡ Solve a problem involving multiplication of fractions and/or mixed numbers.,M,1,0,1,0
